current_salary,skills,recommended_role,success_score
569428,"Agile, CSS, Customer Service, Machine Learning, Statistics",Frontend Developer,0.85
598616,"Excel, Docker, Machine Learning, AWS",Data Analyst,0.85
401859,"JavaScript, Node.js, Tableau",Data Analyst,0.77
324605,"React, SQL, Machine Learning",Frontend Developer,0.93
508326,"React, Excel, Sales, Customer Service, Machine Learning",Frontend Developer,0.93
399236,"Marketing, HTML, React, Tableau, Node.js",Frontend Developer,0.91
481225,"Sales, HTML, Marketing, Agile, Node.js",Frontend Developer,0.97
629757,"Project Management, Customer Service, Tableau, Agile",Data Analyst,0.76
743856,"SQL, Python",Data Analyst,1.0
914465,"JavaScript, Customer Service, Docker, Figma, AWS",UX/UI Designer,0.94
385039,"HTML, Figma, Python",Frontend Developer,0.9
387386,"React, Sales, SQL, AWS",Frontend Developer,0.97
855019,"Project Management, Customer Service, Tableau, Sales, Machine Learning",Data Analyst,0.81
505393,"Figma, React, CSS, Docker, Node.js",Frontend Developer,0.85
752620,"Sales, Node.js, Python, CSS",Frontend Developer,0.94
631354,"Machine Learning, Agile, React",Frontend Developer,0.93
375784,"Excel, HTML, Node.js, Tableau, Figma",Frontend Developer,0.83
409355,"Customer Service, Tableau, CSS, Figma, Marketing",Frontend Developer,0.8
617727,"Excel, Docker, Project Management, Tableau",Data Analyst,0.87
796450,"Sales, JavaScript",Data Scientist,0.71
678272,"Marketing, Python, Machine Learning, Tableau",Data Analyst,0.86
375315,"Excel, Sales, Marketing",Data Analyst,0.94
930125,"JavaScript, Sales, CSS",Frontend Developer,0.89
725910,"Sales, Project Management, Excel, React, Agile",Frontend Developer,0.89
469033,"Node.js, Docker, CSS",Frontend Developer,0.75
455219,"Figma, Docker, HTML, React",Frontend Developer,0.91
421789,"Marketing, SQL",Data Analyst,0.75
247575,"Node.js, Docker",DevOps Engineer,0.79
511758,"Agile, Sales, React, Statistics, CSS",Frontend Developer,0.76
452041,"Machine Learning, Agile",Product Manager,0.79
439915,"Sales, HTML, Docker, React",Frontend Developer,0.86
760118,"Tableau, HTML, Agile, Machine Learning",Frontend Developer,0.83
251222,"CSS, Agile",Frontend Developer,0.9
535115,"Customer Service, React, HTML, Docker",Frontend Developer,0.79
200000,"Node.js, Figma, Docker, SQL",Data Analyst,0.87
399759,"CSS, Sales",Frontend Developer,0.84
460073,"Docker, AWS, React",Frontend Developer,0.92
396116,"Docker, Figma, HTML, Node.js",Frontend Developer,0.84
513865,"JavaScript, Sales, Customer Service, Excel, CSS",Frontend Developer,0.71
797747,"SQL, Sales, HTML",Frontend Developer,0.97
428341,"HTML, Marketing",Frontend Developer,0.79
575693,"Project Management, Node.js, CSS",Frontend Developer,0.94
294498,"Machine Learning, Figma, Node.js, SQL",Data Analyst,0.77
467524,"AWS, HTML, Customer Service, Docker",Frontend Developer,0.74
759559,"SQL, Python, Sales, Excel, Agile",Data Analyst,0.78
509540,"AWS, Agile, Docker, Excel",Data Analyst,0.96
371755,"Figma, CSS, HTML",Frontend Developer,0.98
616184,"Machine Learning, SQL, JavaScript, Python",Data Analyst,0.82
1112090,"Python, Customer Service, Figma, SQL, Docker",Data Analyst,0.73
551195,"Figma, CSS, SQL, JavaScript",Frontend Developer,0.8
456414,"Node.js, Machine Learning",Backend Developer,0.98
575062,"Excel, AWS",Data Analyst,0.88
701590,"Tableau, HTML",Frontend Developer,0.74
360262,"Sales, Statistics, Customer Service, Agile",Product Manager,0.72
441349,"Sales, Node.js, CSS, Marketing, Statistics",Frontend Developer,0.86
352036,"JavaScript, HTML, Customer Service, SQL, Agile",Frontend Developer,0.71
321009,"Tableau, Project Management, JavaScript",Data Analyst,0.74
611758,"SQL, Machine Learning",Data Analyst,0.87
412959,"Statistics, Agile",Product Manager,0.87
567166,"Agile, Python",Product Manager,0.75
664228,"Node.js, SQL, Agile, Project Management",Data Analyst,0.95
617617,"Node.js, CSS, Agile",Frontend Developer,0.96
306032,"Customer Service, Machine Learning, Statistics, Python, Tableau",Data Analyst,0.98
930153,"Customer Service, Excel, Agile",Data Analyst,0.76
448969,"Machine Learning, Project Management",Product Manager,0.77
290499,"AWS, Node.js",DevOps Engineer,0.8
200000,"Figma, AWS, Sales",UX/UI Designer,0.84
427392,"JavaScript, Node.js",Backend Developer,0.76
317731,"Statistics, Docker",DevOps Engineer,0.82
301012,"Python, SQL, Agile",Data Analyst,0.89
201826,"Machine Learning, JavaScript",Frontend Developer,0.79
731876,"Agile, Sales",Product Manager,0.8
320449,"Marketing, Python, JavaScript",DevOps Engineer,0.79
497866,"Excel, Project Management",Data Analyst,0.8
678181,"Marketing, React, CSS",Frontend Developer,0.87
200000,"Docker, Statistics",DevOps Engineer,0.82
640485,"React, Project Management, Tableau, Machine Learning, AWS",Frontend Developer,0.74
659934,"JavaScript, Marketing, Project Management, Docker",Product Manager,0.96
517455,"AWS, Sales, Machine Learning, Figma",UX/UI Designer,0.81
881431,"Tableau, Statistics, Machine Learning",Data Analyst,0.79
217663,"SQL, Excel, Customer Service, Figma, Statistics",Data Analyst,0.85
460988,"Customer Service, Figma, HTML",Frontend Developer,0.97
612103,"Figma, HTML, Node.js, Machine Learning",Frontend Developer,0.91
396524,"Machine Learning, Marketing, Tableau, HTML",Frontend Developer,0.7
494545,"Sales, SQL, Agile, HTML, Python",Frontend Developer,0.89
580741,"HTML, Machine Learning, Figma, Docker",Frontend Developer,0.85
526602,"CSS, Sales, HTML",Frontend Developer,0.82
504902,"Sales, Docker, Customer Service, Node.js, Statistics",DevOps Engineer,0.84
251556,"Statistics, JavaScript, Marketing, HTML, CSS",Frontend Developer,0.85
521187,"Excel, Agile, HTML, JavaScript",Frontend Developer,0.88
460169,"Statistics, React",Frontend Developer,0.75
330158,"HTML, Marketing, CSS, React, JavaScript",Frontend Developer,0.97
394841,"JavaScript, React, Sales",Frontend Developer,0.86
604871,"Sales, Excel, CSS, Marketing",Frontend Developer,0.89
427543,"Statistics, Project Management, Python",Product Manager,0.97
760678,"Marketing, Statistics, React, Node.js, Agile",Frontend Developer,0.93
697342,"Node.js, CSS, Agile, Project Management",Frontend Developer,0.89
358565,"Excel, Tableau, Machine Learning",Data Analyst,0.86
200000,"Docker, SQL, Agile, HTML, React",Frontend Developer,0.92
525446,"Excel, Agile, React, SQL, Node.js",Frontend Developer,0.91
383919,"CSS, Tableau, Project Management, HTML",Frontend Developer,0.74
387336,"Project Management, Agile, Excel",Data Analyst,0.89
779729,"Marketing, Customer Service, Machine Learning",Data Analyst,0.77
659803,"Excel, Node.js, SQL",Data Analyst,0.93
756743,"Docker, CSS, Project Management, Figma, JavaScript",Frontend Developer,0.75
323833,"Python, Excel, Agile",Data Analyst,0.98
636902,"React, Node.js, AWS, Tableau, Python",Frontend Developer,0.93
447047,"Customer Service, AWS, Excel, Statistics",Data Analyst,0.72
531528,"React, Customer Service, HTML",Frontend Developer,0.91
291817,"HTML, Figma, Machine Learning, Agile, Marketing",Frontend Developer,0.96
593096,"HTML, Figma, JavaScript",Frontend Developer,0.92
462617,"Statistics, CSS",Frontend Developer,0.8
200000,"JavaScript, CSS",Frontend Developer,0.98
393957,"CSS, Excel, Agile, Statistics, Project Management",Frontend Developer,0.97
235356,"Python, CSS, Marketing, HTML, Excel",Frontend Developer,0.78
389169,"Excel, CSS, React, Marketing, Python",Frontend Developer,0.99
949065,"CSS, React, HTML, Excel, Sales",Frontend Developer,0.95
518086,"HTML, Tableau",Frontend Developer,0.74
296638,"Docker, HTML, Customer Service, SQL",Frontend Developer,0.72
461952,"HTML, Python",Frontend Developer,0.71
407322,"Python, CSS, SQL, Agile, AWS",Frontend Developer,0.94
307037,"HTML, Figma",Frontend Developer,0.71
634969,"Statistics, CSS, Machine Learning, Customer Service",Frontend Developer,0.87
244461,"Agile, Node.js, Project Management, Tableau",Data Analyst,0.73
624832,"HTML, SQL, Figma, Machine Learning",Frontend Developer,0.96
604149,"Tableau, JavaScript, Figma, Node.js, CSS",Frontend Developer,0.74
434205,"Agile, Statistics, Tableau, Figma",Data Analyst,0.89
697017,"Project Management, Node.js, Customer Service",Product Manager,0.73
554947,"Node.js, Sales",Backend Developer,0.78
200000,"React, Figma",Frontend Developer,0.98
827635,"Tableau, JavaScript, HTML, Customer Service, Figma",Frontend Developer,0.75
499809,"Customer Service, Marketing, Node.js, SQL",Data Analyst,0.92
327978,"Agile, Excel",Data Analyst,0.87
669334,"Agile, Statistics",Product Manager,0.85
200000,"HTML, AWS, Excel, CSS",Frontend Developer,0.76
741565,"Statistics, HTML",Frontend Developer,0.99
261648,"Figma, Project Management, Agile, Sales, Marketing",Product Manager,0.82
358485,"Project Management, Marketing",Product Manager,0.85
491262,"Machine Learning, Agile, Tableau, Excel",Data Analyst,0.89
437291,"HTML, Tableau",Frontend Developer,0.86
840196,"Figma, Node.js",UX/UI Designer,0.77
399814,"CSS, Marketing, Sales, SQL, Node.js",Frontend Developer,0.8
530234,"Docker, Tableau, Excel, Machine Learning",Data Analyst,0.92
454203,"JavaScript, CSS, Marketing, React, Excel",Frontend Developer,0.73
674233,"Sales, SQL",Data Analyst,0.92
803824,"HTML, Agile, SQL",Frontend Developer,0.98
405578,"Statistics, SQL, AWS",Data Analyst,0.97
760113,"Customer Service, Python, Tableau, Node.js, Project Management",Data Analyst,0.8
291902,"AWS, Machine Learning, Agile",Product Manager,0.95
677015,"CSS, Marketing, Excel",Frontend Developer,0.79
482147,"CSS, Agile, AWS, Tableau, Node.js",Frontend Developer,0.81
200000,"JavaScript, AWS, SQL, Node.js, Tableau",Data Analyst,0.9
696265,"Machine Learning, Marketing, Sales, Node.js, HTML",Frontend Developer,0.96
684967,"AWS, Excel, Agile",Data Analyst,0.7
200000,"Machine Learning, Agile, Tableau, HTML, Project Management",Frontend Developer,0.94
567599,"Project Management, Tableau, Marketing",Data Analyst,0.96
619843,"Project Management, Marketing, Python",Product Manager,0.76
639771,"Docker, Machine Learning, CSS, Marketing",Frontend Developer,0.9
598725,"AWS, HTML, CSS, Docker, Customer Service",Frontend Developer,0.95
379394,"Project Management, Marketing",Product Manager,0.79
486899,"Marketing, Customer Service",Frontend Developer,0.87
703119,"Machine Learning, React",Frontend Developer,0.76
397043,"Excel, AWS, Python, Agile, React",Frontend Developer,0.73
283151,"Figma, Marketing, Excel, HTML, Agile",Frontend Developer,0.72
422990,"JavaScript, Statistics, Project Management",Product Manager,0.7
386929,"Sales, Docker, Customer Service",DevOps Engineer,0.74
484375,"Agile, JavaScript, React, SQL",Frontend Developer,0.91
658618,"Figma, Sales",UX/UI Designer,0.79
234857,"Docker, Excel, Agile, Statistics, React",Frontend Developer,0.85
573900,"Agile, Excel",Data Analyst,0.72
546191,"Tableau, CSS, Docker, React, Statistics",Frontend Developer,0.73
509633,"Figma, SQL, AWS, Statistics, Marketing",Data Analyst,0.89
818023,"Sales, Docker, HTML",Frontend Developer,0.78
345870,"Sales, Project Management, Agile, Tableau",Data Analyst,0.74
200000,"Project Management, Docker, Figma, Customer Service",Product Manager,0.77
844437,"Excel, Statistics, HTML, Project Management",Frontend Developer,0.89
501517,"AWS, HTML, Project Management, Python, Agile",Frontend Developer,0.71
521459,"Statistics, Figma, Python",UX/UI Designer,0.94
282887,"Statistics, Agile, Marketing, Excel, Project Management",Data Analyst,0.95
296832,"AWS, Statistics, Docker, Sales",DevOps Engineer,0.96
823431,"SQL, JavaScript",Data Analyst,0.9
763557,"Docker, React",Frontend Developer,0.88
753744,"JavaScript, Excel, SQL",Data Analyst,0.99
388951,"Project Management, Sales",Product Manager,0.93
1055918,"Statistics, Marketing, SQL",Data Analyst,0.93
514012,"Excel, SQL, Project Management, HTML, Agile",Frontend Developer,0.8
573759,"Docker, AWS, HTML, SQL, Agile",Frontend Developer,0.97
360132,"Machine Learning, Agile",Product Manager,0.91
446939,"Agile, Project Management, Machine Learning",Product Manager,0.95
285204,"HTML, Machine Learning, Customer Service, AWS",Frontend Developer,0.91
457456,"SQL, Tableau",Data Analyst,0.97
434135,"JavaScript, Marketing",Data Scientist,0.95
396509,"Figma, HTML, Sales, React",Frontend Developer,0.85
723481,"AWS, Customer Service, Machine Learning",DevOps Engineer,0.9
455315,"Sales, Marketing",Data Scientist,0.83
402045,"Python, Tableau, SQL, AWS, Docker",Data Analyst,0.75
415395,"AWS, Agile",Product Manager,0.88
550629,"React, Figma, Tableau",Frontend Developer,0.92
200000,"Figma, SQL",Data Analyst,0.91
699403,"CSS, Agile, AWS",Frontend Developer,0.94
503911,"Figma, Machine Learning",UX/UI Designer,0.86
653270,"Customer Service, JavaScript, Machine Learning",UX/UI Designer,0.95
729790,"CSS, Machine Learning",Frontend Developer,0.79
367700,"SQL, Tableau",Data Analyst,0.91
379909,"Docker, React, Statistics, AWS, Project Management",Frontend Developer,0.8
309240,"Project Management, CSS, Marketing",Frontend Developer,0.87
735038,"Marketing, Python, Machine Learning, SQL",Data Analyst,0.92
337340,"Machine Learning, Excel",Data Analyst,0.85
419983,"Docker, Node.js",DevOps Engineer,0.82
426506,"Docker, Node.js, Customer Service, Python, HTML",Frontend Developer,0.89
809254,"Customer Service, Marketing, Agile",Product Manager,0.81
606162,"Excel, Machine Learning, Marketing, HTML, SQL",Frontend Developer,0.77
829485,"Docker, Node.js, React, AWS",Frontend Developer,0.81
806144,"Project Management, Excel, Statistics, Docker",Data Analyst,0.86
380468,"Python, HTML, AWS, SQL, Marketing",Frontend Developer,0.82
435720,"JavaScript, Project Management, Machine Learning, Python, AWS",Product Manager,0.77
402754,"Agile, HTML, Python",Frontend Developer,0.93
816039,"React, Node.js, Machine Learning",Frontend Developer,0.81
671211,"Agile, CSS, Node.js, Excel, Machine Learning",Frontend Developer,0.88
452105,"Python, CSS, Agile",Frontend Developer,0.92
241913,"HTML, Project Management, Machine Learning",Frontend Developer,0.98
460803,"Customer Service, Docker, Node.js",DevOps Engineer,0.77
676011,"Docker, Excel, CSS, React",Frontend Developer,0.92
579306,"CSS, Project Management, AWS, Sales, Node.js",Frontend Developer,0.96
385909,"Node.js, AWS, Sales, JavaScript, Marketing",DevOps Engineer,0.91
573241,"Python, Project Management, Statistics",Product Manager,0.91
629685,"Tableau, Marketing",Data Analyst,0.84
496934,"Excel, Tableau, Docker, Agile, Python",Data Analyst,0.71
352880,"Excel, Python, Statistics, Project Management",Data Analyst,0.9
468739,"React, SQL",Frontend Developer,0.81
316672,"Python, Marketing, Docker",DevOps Engineer,0.97
684536,"AWS, HTML, Python",Frontend Developer,0.91
400077,"Statistics, Node.js, Excel, CSS",Frontend Developer,0.78
515368,"Sales, React",Frontend Developer,0.82
629984,"Tableau, React",Frontend Developer,0.83
703551,"HTML, Machine Learning, Customer Service, Sales, SQL",Frontend Developer,0.74
722840,"Agile, Python, SQL, HTML, CSS",Frontend Developer,0.7
561095,"Sales, Excel, React, Docker",Frontend Developer,0.86
653113,"Python, Figma, JavaScript, AWS, Excel",Data Analyst,0.99
604879,"Excel, AWS",Data Analyst,0.79
502168,"Statistics, Docker, Tableau, HTML",Frontend Developer,0.89
663090,"Agile, HTML, Project Management, JavaScript, Docker",Frontend Developer,0.95
633026,"Docker, Customer Service, Sales",DevOps Engineer,0.96
468358,"Node.js, Excel, AWS, HTML",Frontend Developer,0.78
883380,"React, HTML, CSS, Python, Agile",Frontend Developer,0.71
289788,"Node.js, Excel, HTML",Frontend Developer,0.8
691231,"SQL, CSS, Sales",Frontend Developer,0.93
515378,"Agile, CSS",Frontend Developer,0.84
333268,"Node.js, Agile, Excel, Figma, Customer Service",Data Analyst,0.76
406679,"JavaScript, Statistics",Frontend Developer,0.94
557426,"Figma, Excel",Data Analyst,0.79
291975,"SQL, Machine Learning, Project Management, Sales",Data Analyst,0.83
408804,"CSS, Statistics, Python",Frontend Developer,0.83
337564,"Excel, Node.js, Statistics, AWS",Data Analyst,0.96
334225,"CSS, Marketing",Frontend Developer,0.77
204480,"Node.js, Marketing, Machine Learning, HTML",Frontend Developer,1.0
498109,"JavaScript, Node.js, Sales, CSS",Frontend Developer,0.82
485000,"Figma, Customer Service, AWS, Agile",Product Manager,0.84
586845,"Statistics, Docker, Customer Service",DevOps Engineer,0.87
517220,"Agile, Machine Learning, React, HTML",Frontend Developer,0.81
384130,"Figma, AWS",UX/UI Designer,0.87
498218,"React, Excel, Marketing, HTML",Frontend Developer,1.0
507957,"Docker, SQL, Node.js, Sales",Data Analyst,0.84
763268,"Sales, AWS, HTML, Agile",Frontend Developer,0.94
383212,"Figma, Tableau, Python",Data Analyst,0.75
212958,"Customer Service, Tableau, AWS",Data Analyst,1.0
609690,"Node.js, Python",Backend Developer,0.93
786563,"Machine Learning, Statistics, SQL, Sales, Customer Service",Data Analyst,0.8
399120,"Customer Service, CSS, JavaScript",Frontend Developer,0.96
605781,"Figma, Docker, CSS",Frontend Developer,0.76
343280,"JavaScript, Statistics, Sales, CSS, Node.js",Frontend Developer,0.85
372943,"SQL, Tableau, AWS",Data Analyst,0.96
403327,"Marketing, Tableau",Data Analyst,0.9
609775,"JavaScript, Customer Service, Agile, Project Management, Python",Product Manager,0.86
488597,"Marketing, Project Management, Excel, Figma, Docker",Data Analyst,0.83
215779,"CSS, Machine Learning, Python, Sales",Frontend Developer,0.97
388074,"Tableau, SQL",Data Analyst,0.83
358578,"Statistics, Customer Service",UX/UI Designer,0.87
200000,"Agile, Excel",Data Analyst,0.88
243903,"SQL, Docker, Marketing",Data Analyst,0.82
363464,"Excel, Docker",Data Analyst,0.87
200000,"Agile, Docker, Machine Learning",Product Manager,0.8
471310,"Sales, Agile, Customer Service, Marketing, AWS",Product Manager,0.8
370640,"HTML, SQL, Agile",Frontend Developer,0.87
511455,"AWS, JavaScript, Tableau, Sales",Data Analyst,0.94
310442,"Sales, Figma, Tableau, Machine Learning, AWS",Data Analyst,0.74
620343,"SQL, AWS, Tableau, Node.js, Agile",Data Analyst,0.93
419159,"SQL, HTML, Figma, Customer Service, Marketing",Frontend Developer,0.79
344849,"Docker, Machine Learning, CSS",Frontend Developer,0.89
410455,"AWS, CSS",Frontend Developer,0.85
859899,"Customer Service, Tableau",Data Analyst,0.89
793082,"Machine Learning, Agile, React, HTML",Frontend Developer,0.7
288832,"Figma, Agile, AWS, Marketing, Python",Product Manager,0.81
535659,"Docker, Project Management, Customer Service, Statistics",Product Manager,0.78
529100,"Node.js, AWS",DevOps Engineer,0.93
796299,"CSS, Customer Service, Excel, SQL, Project Management",Frontend Developer,0.99
441133,"Machine Learning, Statistics, Marketing",Product Manager,0.97
555927,"HTML, Machine Learning, Docker, Python",Frontend Developer,0.96
326327,"Excel, React, Node.js, CSS",Frontend Developer,0.95
520212,"CSS, Docker, Customer Service, Statistics",Frontend Developer,0.79
506703,"Tableau, AWS",Data Analyst,0.93
734021,"Node.js, HTML, Marketing",Frontend Developer,0.81
398793,"Marketing, Machine Learning",DevOps Engineer,0.7
265488,"CSS, HTML, Docker",Frontend Developer,0.92
924007,"Node.js, Customer Service, Docker, Marketing",DevOps Engineer,0.72
207795,"Excel, Tableau",Data Analyst,0.96
436318,"Node.js, React, Marketing, Customer Service",Frontend Developer,0.85
450193,"Node.js, Marketing, React",Frontend Developer,0.83
502244,"React, SQL, CSS, JavaScript",Frontend Developer,0.81
319115,"Docker, Tableau, Machine Learning, AWS",Data Analyst,0.74
386621,"JavaScript, Marketing, Python",Backend Developer,0.7
759928,"Python, Marketing, Statistics",Data Scientist,0.77
200000,"Statistics, AWS, Project Management, HTML",Frontend Developer,0.74
448274,"Sales, React, CSS, SQL, Project Management",Frontend Developer,0.99
498976,"Project Management, Machine Learning, Marketing, CSS, SQL",Frontend Developer,0.84
477430,"JavaScript, Statistics",Product Manager,0.96
934909,"CSS, React, Excel, JavaScript",Frontend Developer,0.71
362994,"Machine Learning, React",Frontend Developer,0.75
247039,"Agile, Excel, Customer Service, SQL",Data Analyst,0.85
635525,"Figma, Customer Service, Python",UX/UI Designer,0.86
763392,"Node.js, Agile, Docker, HTML, Customer Service",Frontend Developer,0.77
657938,"SQL, Sales, Marketing",Data Analyst,0.91
475121,"Statistics, Tableau, Node.js",Data Analyst,0.88
706366,"Customer Service, CSS, Docker",Frontend Developer,0.88
200000,"Python, Node.js, React, Agile",Frontend Developer,0.76
509837,"Python, Tableau, CSS, Statistics",Frontend Developer,0.98
572003,"Sales, CSS",Frontend Developer,0.91
755629,"Sales, Machine Learning",UX/UI Designer,0.79
581716,"Sales, Agile",Product Manager,0.87
980029,"Node.js, Sales, Docker, Statistics, React",Frontend Developer,1.0
466986,"CSS, Node.js, Agile, Customer Service, HTML",Frontend Developer,0.85
200000,"Excel, React",Frontend Developer,0.89
220354,"Node.js, JavaScript, Project Management",Product Manager,0.84
200000,"Docker, Node.js, Agile, HTML",Frontend Developer,0.82
415833,"React, Figma, Machine Learning, Docker, Python",Frontend Developer,0.73
645667,"HTML, AWS, Sales",Frontend Developer,0.98
229557,"Machine Learning, Tableau, HTML, Figma, Docker",Frontend Developer,0.94
332401,"Node.js, Machine Learning",Backend Developer,0.95
622572,"Figma, Project Management, Excel, Statistics, Agile",Data Analyst,0.77
507988,"Docker, Agile",Product Manager,0.78
507621,"Docker, HTML, SQL",Frontend Developer,0.72
787156,"Node.js, Figma, HTML, Statistics",Frontend Developer,0.87
480567,"AWS, JavaScript",DevOps Engineer,1.0
691634,"Tableau, Project Management, Sales, Docker",Data Analyst,0.77
672387,"Statistics, Node.js, Tableau, Excel, AWS",Data Analyst,0.78
550371,"Agile, CSS, Docker",Frontend Developer,0.94
570821,"SQL, CSS, Tableau, Customer Service, Machine Learning",Frontend Developer,0.87
411053,"Python, Excel, AWS",Data Analyst,1.0
542578,"JavaScript, Customer Service, Machine Learning, Agile",Product Manager,0.87
420547,"Tableau, Docker, Sales, HTML",Frontend Developer,0.76
312446,"CSS, Project Management, Machine Learning, Python, HTML",Frontend Developer,0.79
343871,"Machine Learning, Sales, CSS, AWS, React",Frontend Developer,0.83
714736,"Customer Service, HTML",Frontend Developer,0.88
595029,"Machine Learning, Project Management, Node.js",Product Manager,0.71
422091,"Sales, Statistics",Backend Developer,0.71
500600,"Tableau, Node.js",Data Analyst,0.97
373627,"Excel, Customer Service, SQL, Node.js, JavaScript",Data Analyst,0.78
833077,"Tableau, Excel, React, Figma",Frontend Developer,0.73
349015,"SQL, Excel, Docker, React",Frontend Developer,0.79
497204,"React, Tableau",Frontend Developer,0.86
870062,"Agile, Customer Service",Product Manager,0.79
719535,"Customer Service, Figma",UX/UI Designer,0.97
231885,"Node.js, React, JavaScript, Excel, HTML",Frontend Developer,0.85
440340,"Agile, Sales, Tableau, Figma",Data Analyst,0.8
406951,"React, Customer Service, Machine Learning",Frontend Developer,0.88
739089,"JavaScript, Figma, Marketing",UX/UI Designer,0.89
281194,"Project Management, Marketing, Customer Service, Excel",Data Analyst,0.8
731274,"Excel, Statistics",Data Analyst,0.8
573912,"Agile, Node.js, JavaScript, AWS",Product Manager,0.9
400006,"Agile, Tableau, React, Figma",Frontend Developer,0.91
546665,"Customer Service, Docker",DevOps Engineer,0.88
592561,"Statistics, SQL, HTML, Customer Service",Frontend Developer,0.89
552508,"Tableau, Marketing, Python, Customer Service, Machine Learning",Data Analyst,0.89
539475,"Excel, HTML",Frontend Developer,0.74
355263,"Node.js, Excel, Project Management",Data Analyst,0.88
876904,"Excel, Statistics, AWS, Docker, React",Frontend Developer,0.83
200000,"Project Management, Figma",Product Manager,0.93
274404,"Sales, Machine Learning, Statistics",UX/UI Designer,0.84
467185,"Docker, Python, Marketing, HTML",Frontend Developer,0.94
200000,"Machine Learning, Figma",UX/UI Designer,0.8
568780,"SQL, Machine Learning, React",Frontend Developer,0.91
210102,"Python, Figma, Docker",UX/UI Designer,0.88
524651,"AWS, CSS, Sales, Agile, Marketing",Frontend Developer,0.74
674647,"SQL, Python, Excel",Data Analyst,0.75
629893,"Statistics, Tableau",Data Analyst,0.95
679349,"Figma, Tableau, Machine Learning, JavaScript, Sales",Data Analyst,0.94
454871,"JavaScript, Node.js, HTML, React, Python",Frontend Developer,0.94
234735,"React, Project Management",Frontend Developer,0.76
201333,"SQL, Python, HTML",Frontend Developer,0.9
700939,"Tableau, Statistics, JavaScript, React, Machine Learning",Frontend Developer,0.78
425711,"Project Management, SQL",Data Analyst,0.87
507834,"Excel, Docker, Machine Learning",Data Analyst,0.9
638235,"Project Management, Agile, AWS, JavaScript",Product Manager,0.8
315903,"Machine Learning, JavaScript, Node.js, Figma",UX/UI Designer,0.8
558810,"Tableau, Python, AWS",Data Analyst,0.86
350275,"Docker, Machine Learning, Node.js",DevOps Engineer,0.93
657420,"Agile, Tableau",Data Analyst,0.88
200000,"React, Node.js",Frontend Developer,0.83
200000,"JavaScript, Project Management, CSS, Machine Learning",Frontend Developer,0.83
777142,"Customer Service, HTML, React",Frontend Developer,0.95
241517,"Excel, SQL, Statistics, JavaScript",Data Analyst,0.92
779285,"HTML, Agile, AWS, Project Management",Frontend Developer,0.75
571808,"AWS, Node.js, Tableau, Machine Learning, Excel",Data Analyst,0.78
589503,"React, Sales, JavaScript, SQL",Frontend Developer,0.97
516345,"Tableau, Figma",Data Analyst,0.8
458109,"AWS, SQL, Node.js, React",Frontend Developer,0.92
536929,"Excel, Node.js, Marketing, CSS",Frontend Developer,0.86
513189,"Docker, AWS, Tableau, Statistics, HTML",Frontend Developer,0.99
218561,"Sales, Marketing, Tableau",Data Analyst,0.72
597409,"JavaScript, Tableau, React, Python",Frontend Developer,0.8
858501,"SQL, Docker, Machine Learning",Data Analyst,0.87
428530,"Figma, Python, Project Management, React, Customer Service",Frontend Developer,0.86
470333,"Tableau, Docker, Python, Figma",Data Analyst,0.8
200000,"HTML, React, SQL",Frontend Developer,0.95
501412,"Node.js, Excel",Data Analyst,0.87
609359,"Statistics, Docker, HTML, Node.js",Frontend Developer,0.9
364058,"Marketing, Machine Learning",Data Scientist,0.94
528103,"Figma, Tableau, Customer Service, Project Management, CSS",Frontend Developer,0.8
293513,"Tableau, SQL, Machine Learning, Sales, Agile",Data Analyst,0.98
424330,"SQL, HTML, Docker, JavaScript, Customer Service",Frontend Developer,0.75
649109,"Node.js, Agile, HTML, Docker",Frontend Developer,0.89
483802,"HTML, Marketing, JavaScript, Figma, SQL",Frontend Developer,0.85
595709,"Agile, SQL, Machine Learning",Data Analyst,0.98
441445,"JavaScript, CSS, Project Management",Frontend Developer,0.84
487637,"AWS, Statistics, Project Management, CSS",Frontend Developer,0.72
622648,"Sales, React",Frontend Developer,0.78
670795,"Docker, SQL",Data Analyst,0.85
332914,"Project Management, Node.js, Customer Service, React",Frontend Developer,0.86
473887,"Statistics, HTML",Frontend Developer,0.77
949164,"JavaScript, Docker, Sales, SQL",Data Analyst,0.95
412593,"JavaScript, Statistics, Agile",Product Manager,0.98
835030,"Tableau, Project Management, React",Frontend Developer,0.78
811552,"Tableau, CSS",Frontend Developer,0.77
302221,"CSS, Project Management, Marketing",Frontend Developer,0.98
798500,"Excel, Sales",Data Analyst,0.96
881033,"AWS, Figma, Tableau",Data Analyst,0.91
320315,"Docker, CSS",Frontend Developer,0.73
369293,"React, AWS, Statistics, CSS, Python",Frontend Developer,0.75
839995,"Figma, Project Management, Agile, CSS",Frontend Developer,0.76
695847,"Machine Learning, Agile, SQL",Data Analyst,0.9
435930,"Excel, Sales, AWS",Data Analyst,0.71
819642,"Figma, Machine Learning, Tableau",Data Analyst,0.77
372533,"Project Management, Customer Service, Excel, Node.js, Python",Data Analyst,0.78
780204,"Excel, HTML, Figma, Customer Service, Statistics",Frontend Developer,0.81
363154,"Tableau, Statistics, HTML, CSS",Frontend Developer,0.72
488765,"HTML, AWS, Customer Service",Frontend Developer,0.84
471367,"React, CSS, Sales, Node.js, HTML",Frontend Developer,0.79
335123,"CSS, Customer Service, HTML, Tableau",Frontend Developer,0.8
